id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
1,al,5 Points In-Line,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
2,al,Airport Blvd (AL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
3,al,Alabama A&M University,No,No,No,No,No,No,Yes,No,
4,al,Alabama Power,No,No,No,No,No,No,No,No,
5,al,Alabama State University,No,No,No,No,No,No,Yes,No,
6,al,Alabaster,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.75
7,al,Alexander City [AL],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
8,al,Ann Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
9,al,Athens (AL),Yes,Yes,Yes,Yes,Yes,Yes,No,No,
10,al,Auburn In-Line DT,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
11,al,Auburn Mall,Yes,Yes,Yes,Yes,No,No,Yes,No,5.09
12,al,Auburn University,No,No,No,No,No,No,Yes,No,
13,al,Auburn University - ARENA Concessions,No,No,No,No,No,No,Yes,No,
14,al,Auburn University - Village Dining,No,No,No,No,No,No,Yes,No,
15,al,Bel Air Mall,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
16,al,Birmingham-Shuttlesworth International Airport,No,No,No,No,No,No,Yes,No,
17,al,Cahaba Heights,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
18,al,Calera,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
19,al,Cullman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.75
20,al,Daphne,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
21,al,Dauphin Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
22,al,East Dothan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
23,al,EastChase,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
24,al,Eastwood Village,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
25,al,Enterprise (AL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
26,al,Eufaula [AL],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
27,al,Florence,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
28,al,Foley,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.99
29,al,Fort Payne,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
30,al,Fultondale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
31,al,Gadsden at 4th Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
32,al,Gardendale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
33,al,Governors Drive,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
34,al,Greystone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
35,al,Guntersville,Yes,No,No,No,Yes,Yes,Yes,No,4.85
36,al,Hampton Cove In-Line DT,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.85
37,al,Helena (AL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
38,al,Hoover Commons,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
39,al,Inverness,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
40,al,Jacksonville [AL],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
41,al,Jacksonville State University,No,No,No,No,Yes,No,Yes,No,
42,al,Jasper,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.75
43,al,Leeds,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
44,al,Madison (AL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
45,al,McCalla,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
46,al,Midtown Plaza In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
47,al,Montgomery-Promenade,Yes,No,No,No,Yes,Yes,Yes,Yes,4.75
48,al,Muscle Shoals,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
49,al,North Prattville,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4.75
50,al,Northport,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
51,al,Oak Mountain,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.75
52,al,Oxford,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
53,al,Oxford Mall,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5.09
54,al,Parkway East,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
55,al,Parkway Place,Yes,Yes,Yes,No,Yes,No,Yes,No,5.09
56,al,Patton Creek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.79
57,al,Pell City,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.75
58,al,Phenix City,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
59,al,Prattville,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
60,al,RELO Montgomery-Promenade,No,No,No,No,No,No,No,No,
61,al,Riverchase Galleria,Yes,Yes,Yes,No,No,No,No,No,5.09
62,al,Ross Clark Circle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
63,al,RSA Battlehouse,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
64,al,RSA Regions Tower,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
65,al,Samford University,No,No,No,No,No,No,No,No,
66,al,Schillinger Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
67,al,Scottsboro [AL],No,No,No,No,No,No,No,No,
68,al,South Memorial Parkway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
69,al,Southeast Decatur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
70,al,Southwest Decatur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
71,al,Spanish Fort,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.79
72,al,Sylacauga [AL],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
73,al,The Grove,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
74,al,TigerTown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.75
75,al,Troy (AL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
76,al,Troy University,No,No,No,No,No,No,Yes,No,
77,al,Trussville (AL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
78,al,Tuscaloosa Drive-Thru Only,Yes,No,No,No,Yes,No,Yes,Yes,4.75
79,al,Tuscaloosa South,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
80,al,Tuskegee University,No,No,No,No,No,No,No,No,
81,al,University Drive,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
82,al,University Mall (AL),Yes,Yes,Yes,No,No,No,No,No,5.09
83,al,University of Alabama,No,No,No,No,No,No,Yes,No,
84,al,University of Alabama - Huntsville,No,No,No,No,No,No,Yes,No,
85,al,University of Alabama Birmingham,No,No,No,No,No,No,No,No,
86,al,University of Alabama Birmingham Hospital,No,No,No,No,No,No,Yes,No,
87,al,University of Alabama-Lloyd Hall,No,No,No,No,No,No,Yes,No,
88,al,University of North Alabama,No,No,No,No,No,No,Yes,No,
89,al,University of South Alabama,No,No,No,No,No,No,Yes,No,
90,al,Vestavia Hills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
91,al,Whitesburg Drive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
92,al,Wildwood Centre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
93,az,303 & Waddell,No,No,No,No,No,No,No,No,
94,az,7th Ave. & Roosevelt,No,No,No,No,No,No,No,No,3.49
95,az,89th & Shea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
96,az,Ahwatukee Foothills Town Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
97,az,Arcadia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
98,az,Arizona & Ocotillo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
99,az,Arizona State University,No,No,No,No,No,No,No,No,
100,az,Arizona State University - Downtown,No,No,No,No,No,No,Yes,No,
101,az,Arizona State University - West Campus,No,No,No,No,No,No,Yes,No,
102,az,Arrowhead,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.45
103,az,Avondale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.45
104,az,Bethany Home,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.25
105,az,Camelback & 16th Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.45
106,az,Casa Grande,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
107,az,Chandler Festival,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
108,az,Chase Field,Yes,No,No,No,No,No,No,No,10.99
109,az,Crossroads Towne Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
110,az,Deer Valley,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.45
111,az,El Con,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
112,az,Flagstaff,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.75
113,az,Gilbert Gateway Towne Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
114,az,Goodyear,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.45
115,az,Grand Canyon University,No,No,No,No,No,No,Yes,No,
116,az,Grand Canyon University - Diamondback Apartments,No,No,No,No,No,No,Yes,No,
117,az,Higley & Baseline,No,No,No,No,No,No,No,No,
118,az,I-19 & Irvington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
119,az,Ina at Thornydale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
120,az,Mesa Riverview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
121,az,Metrocenter,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.25
122,az,Norterra,No,No,No,No,No,No,No,No,5.45
123,az,Northern Arizona University,No,No,No,No,No,No,Yes,No,
124,az,Oracle Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
125,az,Paradise Valley,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
126,az,Phoenix Sky Harbor International Airport,No,No,No,No,No,No,No,No,
127,az,Power & McKellips,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
128,az,Prescott Valley Crossroads,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
129,az,Queen Creek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.45
130,az,Raintree Drive & 101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
131,az,San Tan Village Marketplace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
132,az,Scottsdale 101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
133,az,South Mountain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
134,az,Stapley Drive,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.45
135,az,Superstition Springs Center,Yes,Yes,Yes,Yes,Yes,No,No,No,5.69
136,az,Surprise Marketplace,Yes,No,No,No,Yes,Yes,Yes,No,5.39
137,az,Tanque Verde,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
138,az,Thunderbird,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.29
139,az,University at Mill,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.39
140,az,University of Arizona-SUMC,No,No,No,No,No,No,No,No,
141,az,Yuma,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
142,ar,7th & Broadway,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.99
143,ar,Arkansas State University,No,No,No,No,Yes,No,Yes,No,
144,ar,Cantrell Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
145,ar,Chenal & Markham,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.99
146,ar,Clinton National Airport,No,No,No,No,Yes,No,Yes,No,
147,ar,Conway Commons,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
148,ar,Downtown Bentonville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
149,ar,Harding University,No,No,No,No,No,No,Yes,No,
150,ar,Henderson State University,No,No,No,No,Yes,No,Yes,No,
151,ar,Hot Springs,Yes,No,No,No,Yes,Yes,Yes,Yes,4.95
